case_id,state,district,project_type,acquiring_authority,land_area_hectares,land_type,num_affected_families,sia_conducted,consent_percentage,community_sentiment_score,compensation_offered_per_hectare,compensation_disputed,land_records_digitized,survey_settlement_pending,approval_timeline_days,court_case_filed,litigation_type,case_pending_court,stay_order_issued,case_pendency_duration_months,r_and_r_plan_prepared,families_to_be_resettled,rehabilitation_site_ready,livelihood_restoration_provided,possession_status,stakeholder_responsiveness_score,awarding_officer_assigned,district_historical_delay_rate,days_since_notification,stage_of_process,risk_score,delayed,delay_duration_months
LA00001,Maharashtra,Maharashtra_District_4,Power Plant,NHAI,21.72,Tribal/Scheduled Area,91,True,100.0,1.0,323577.0,False,True,True,125,False,None,False,False,0,False,34,False,False,Full,0.69,False,0.24,745,Closed,0.429,False,4.7
LA00002,Rajasthan,Rajasthan_District_3,Highway,Municipal Corporation,3.73,Forest,9,True,69.9,0.64,351068.0,False,True,False,83,False,None,False,False,0,True,3,True,True,Partial,0.54,True,0.16,1171,Closed,0.152,False,0.0
LA00003,Odisha,Odisha_District_3,Highway,State PWD,12.01,Agricultural,40,False,82.1,0.0,523451.0,True,True,True,187,True,Title Dispute,True,False,6,True,9,True,False,Partial,0.71,True,0.19,483,Notification,0.756,True,20.5
LA00004,Madhya Pradesh,Madhya Pradesh_District_3,Power Plant,State Industrial Dev. Corp,10.45,Forest,264,True,56.5,0.59,474707.0,True,True,False,44,False,None,False,False,0,True,153,True,False,Partial,0.41,True,0.72,1746,Notification,0.412,False,0.0
LA00005,Karnataka,Karnataka_District_3,Railway,Municipal Corporation,1.12,Agricultural,28,False,54.1,0.04,372665.0,True,True,False,219,False,None,False,False,0,True,13,True,True,Full,0.87,True,0.27,581,SIA,0.418,False,1.2
LA00006,Bihar,Bihar_District_3,Railway,NHAI,45.43,Urban/Residential,23,True,80.5,0.81,645621.0,False,True,False,230,False,None,False,False,0,False,8,True,False,Not Started,0.55,True,0.27,514,Award Declared,0.183,False,2.2
LA00007,Punjab,Punjab_District_1,Railway,Municipal Corporation,7.27,Urban/Residential,16,False,62.9,0.53,515890.0,False,False,True,266,False,None,False,False,0,False,4,False,False,Full,0.4,True,0.3,1359,Notification,0.439,False,2.0
LA00008,Rajasthan,Rajasthan_District_2,Urban Housing,Indian Railways,37.23,Agricultural,21,False,89.7,0.31,1217561.0,False,True,True,398,False,None,False,False,0,False,10,True,False,Not Started,0.51,False,0.08,784,Award Declared,0.43,False,0.0
LA00009,West Bengal,West Bengal_District_4,Urban Housing,State PWD,13.39,Urban/Residential,45,True,66.3,0.86,274527.0,False,True,False,104,False,None,False,False,0,True,13,False,False,Partial,0.31,True,0.3,450,Award Declared,0.153,False,2.1
LA00010,Bihar,Bihar_District_2,Railway,State Industrial Dev. Corp,4.42,Wasteland,4,True,82.0,0.95,259585.0,True,True,True,96,False,None,False,False,0,False,2,True,True,Not Started,0.9,True,0.43,436,Award Declared,0.378,False,1.5
