case_id,objection_type,objecting_groups,prior_broken_promises,turnout_ratio,gram_sabha_outcome,escalation_language,asset_loss_type
LA00001,fundamental,agricultural labourers,False,0.73,deferred,False,burial ground
LA00002,none,,False,0.89,passed,False,none
LA00003,procedural,landowning farmers,False,1.06,deferred,False,none
LA00004,none,,False,0.93,passed,False,none
LA00005,none,,False,0.61,passed,False,none
LA00006,none,,False,1.26,passed,False,none
LA00007,none,,True,0.47,passed,False,none
LA00008,none,,True,0.28,passed,False,none
LA00009,none,,False,0.18,deferred,False,community water tank
LA00010,procedural,landowning farmers,True,2.0,deferred,False,none
LA00011,none,,False,0.31,passed,False,community water tank
LA00012,procedural,tenant cultivators;elected Panchayat members;landowning farmers,False,0.05,passed,False,none
LA00013,procedural,tenant cultivators;landowning farmers,True,2.0,deferred,False,none
LA00014,procedural,local shopkeepers and traders;agricultural labourers,False,0.84,passed,False,none
LA00015,none,,False,0.78,passed,False,community water tank
LA00016,fundamental,landowning farmers;tenant cultivators,False,1.14,deferred,True,none
LA00017,procedural,elected Panchayat members;agricultural labourers;tenant cultivators,False,0.12,rejected,False,sacred grove
LA00018,none,,False,0.29,passed,False,none
LA00019,none,,False,0.43,passed,False,burial ground
LA00020,procedural,agricultural labourers,False,0.09,passed,False,community water tank
LA00021,procedural,representatives of the Scheduled Tribe community;local shopkeepers and traders;landowning farmers,False,0.6,deferred,True,none
LA00022,none,,False,0.56,passed,False,none
LA00023,procedural,agricultural labourers;tenant cultivators;landowning farmers,False,0.8,deferred,False,none
LA00024,fundamental,landowning farmers,True,1.12,passed,True,grazing commons
LA00025,none,,False,0.75,passed,False,none
LA00026,procedural,representatives of the Scheduled Tribe community,False,0.22,passed,False,none
LA00027,fundamental,landowning farmers,False,0.72,deferred,True,irrigation source
LA00028,procedural,agricultural labourers;representatives of the Scheduled Tribe community;tenant cultivators,False,2.67,rejected,True,none
LA00029,none,,False,0.68,passed,False,none
LA00030,none,,False,0.63,passed,False,none
LA00031,none,,False,0.57,passed,False,none
LA00032,none,,False,0.53,passed,False,none
LA00033,procedural,representatives of the Scheduled Tribe community,False,0.63,passed,True,none
LA00034,procedural,landowning farmers;representatives of the Scheduled Tribe community,True,0.24,rejected,False,burial ground
LA00035,none,,False,0.46,passed,False,none
LA00036,none,,False,1.02,deferred,False,none
LA00037,procedural,landowning farmers;the local women's self-help group;elected Panchayat members,False,0.38,deferred,False,sacred grove
LA00038,none,,False,1.6,passed,False,none
LA00039,procedural,tenant cultivators;landowning farmers,True,0.48,deferred,False,grazing commons
LA00040,none,,False,0.47,rejected,False,none
LA00041,fundamental,elected Panchayat members,False,0.67,rejected,True,grazing commons
LA00042,none,,True,0.47,passed,False,none
LA00043,none,,False,0.67,deferred,False,community water tank
LA00044,fundamental,local shopkeepers and traders;tenant cultivators;landowning farmers,False,0.08,rejected,True,none
LA00045,procedural,landowning farmers,True,0.37,passed,True,none
LA00046,none,,False,0.5,passed,False,irrigation source
LA00047,fundamental,representatives of the Scheduled Tribe community,True,0.05,passed,True,none
LA00048,none,,False,0.36,passed,False,community water tank
LA00049,fundamental,tenant cultivators;landowning farmers,False,0.5,rejected,True,none
LA00050,none,,False,0.29,passed,False,community water tank
LA00051,none,,False,0.28,passed,False,none
LA00052,none,,False,0.36,passed,False,community water tank
LA00053,none,,False,0.48,passed,False,community water tank
LA00054,procedural,agricultural labourers;local shopkeepers and traders;representatives of the Scheduled Tribe community,True,0.8,passed,False,none
LA00055,procedural,representatives of the Scheduled Tribe community;tenant cultivators,False,0.89,deferred,False,none
LA00056,none,,False,0.53,passed,False,community water tank
LA00057,none,,False,0.56,passed,False,none
LA00058,fundamental,agricultural labourers;the local women's self-help group,False,4.0,rejected,True,none
LA00059,none,,False,0.57,passed,False,none
LA00060,none,,True,0.81,passed,False,none
LA00061,procedural,landowning farmers,False,0.8,passed,False,none
LA00062,procedural,tenant cultivators,False,0.55,passed,False,none
LA00063,fundamental,elected Panchayat members;tenant cultivators,True,0.73,rejected,False,none
LA00064,none,,False,0.38,passed,False,none
LA00065,procedural,the local women's self-help group;agricultural labourers;tenant cultivators,False,0.49,deferred,False,none
LA00066,none,,False,0.51,passed,False,community water tank
LA00067,none,,False,0.62,passed,False,none
LA00068,none,,True,0.47,passed,False,none
