case_id,state,district,project_type,acquiring_authority,land_area_hectares,land_type,num_affected_families,sia_conducted,consent_percentage,compensation_offered_per_hectare,compensation_disputed,land_records_digitized,survey_settlement_pending,approval_timeline_days,court_case_filed,litigation_type,case_pending_court,stay_order_issued,case_pendency_duration_months,r_and_r_plan_prepared,families_to_be_resettled,rehabilitation_site_ready,livelihood_restoration_provided,possession_status,stakeholder_responsiveness_score,awarding_officer_assigned,district_historical_delay_rate,days_since_notification,stage_of_process,delayed,delay_duration_months
LA00001,Maharashtra,Maharashtra_District_4,Power Plant,NHAI,21.72,Tribal/Scheduled Area,91,True,100.0,323577.0,False,True,True,125,False,None,False,False,0,False,34,False,False,Full,0.69,False,0.24,745,Closed,True,24.3
LA00002,Rajasthan,Rajasthan_District_3,Highway,Municipal Corporation,3.73,Forest,9,True,69.9,351068.0,False,True,False,83,False,None,False,False,0,True,3,True,True,Partial,0.54,True,0.16,1171,Closed,False,1.3
LA00003,Odisha,Odisha_District_3,Highway,State PWD,12.01,Agricultural,40,False,82.1,523451.0,True,True,True,187,True,Title Dispute,True,False,6,True,9,True,False,Partial,0.71,True,0.19,483,Notification,False,0.2
LA00004,Madhya Pradesh,Madhya Pradesh_District_3,Power Plant,State Industrial Dev. Corp,10.45,Forest,264,True,56.5,474707.0,True,True,False,44,False,None,False,False,0,True,153,True,False,Partial,0.41,True,0.72,1746,Notification,False,1.3
LA00005,Karnataka,Karnataka_District_3,Railway,Municipal Corporation,1.12,Agricultural,28,False,54.1,372665.0,True,True,False,219,False,None,False,False,0,True,13,True,True,Full,0.87,True,0.27,581,SIA,False,3.1
LA00006,Bihar,Bihar_District_3,Railway,NHAI,45.43,Urban/Residential,23,True,80.5,645621.0,False,True,False,230,False,None,False,False,0,False,8,True,False,Not Started,0.55,True,0.27,514,Award Declared,False,3.5
LA00007,Punjab,Punjab_District_1,Railway,Municipal Corporation,7.27,Urban/Residential,16,False,62.9,515890.0,False,False,True,266,False,None,False,False,0,False,4,False,False,Full,0.4,True,0.3,1359,Notification,False,1.2
LA00008,Rajasthan,Rajasthan_District_2,Urban Housing,Indian Railways,37.23,Agricultural,21,False,89.7,1217561.0,False,True,True,398,False,None,False,False,0,False,10,True,False,Not Started,0.51,False,0.08,784,Award Declared,False,2.4
LA00009,West Bengal,West Bengal_District_4,Urban Housing,State PWD,13.39,Urban/Residential,45,True,66.3,274527.0,False,True,False,104,False,None,False,False,0,True,13,False,False,Partial,0.31,True,0.3,450,Award Declared,False,1.8
LA00010,Bihar,Bihar_District_2,Railway,State Industrial Dev. Corp,4.42,Wasteland,4,True,82.0,259585.0,True,True,True,96,False,None,False,False,0,False,2,True,True,Not Started,0.9,True,0.43,436,Award Declared,True,14.0
LA00011,Maharashtra,Maharashtra_District_1,Highway,Municipal Corporation,1.66,Urban/Residential,12,False,79.8,925722.0,False,False,False,413,False,None,False,False,0,True,4,True,False,Full,0.56,True,0.49,129,Compensation Disbursed,False,0.1
LA00012,Bihar,Bihar_District_2,Railway,Indian Railways,17.72,Agricultural,10,False,67.2,578241.0,False,True,False,228,False,None,False,False,0,False,3,False,False,Full,0.32,True,0.43,80,Possession Taken,False,2.3
LA00013,Gujarat,Gujarat_District_4,Industrial Corridor,NHAI,27.75,Agricultural,4,True,98.9,633345.0,False,False,False,360,False,None,False,False,0,True,2,True,True,Not Started,0.66,True,0.45,455,Notification,False,3.1
LA00014,West Bengal,West Bengal_District_4,Highway,Indian Railways,3.94,Urban/Residential,55,True,70.3,339639.0,False,True,True,588,False,None,False,False,0,False,9,False,False,Partial,0.84,True,0.3,307,Notification,False,0.4
LA00015,West Bengal,West Bengal_District_2,Mining,NHAI,12.71,Urban/Residential,234,True,75.0,559903.0,False,True,False,79,True,Title Dispute,True,False,4,False,33,False,False,Partial,0.75,True,0.4,878,Compensation Disbursed,True,13.8
LA00016,Madhya Pradesh,Madhya Pradesh_District_2,Highway,Municipal Corporation,65.03,Forest,7,True,70.6,369272.0,True,True,True,153,True,Compensation Dispute,True,False,17,True,4,True,True,Full,0.43,True,0.56,1213,Possession Taken,True,26.3
LA00017,Bihar,Bihar_District_2,Railway,Irrigation Dept,23.38,Tribal/Scheduled Area,66,True,53.7,648296.0,True,True,False,336,True,Title Dispute,True,False,4,True,29,True,True,Partial,0.9,False,0.43,1350,Closed,True,32.3
LA00018,Gujarat,Gujarat_District_4,Urban Housing,Indian Railways,5.97,Agricultural,63,True,80.9,146671.0,False,True,False,233,False,None,False,False,0,True,20,True,False,Partial,0.33,True,0.45,1634,Notification,False,0.7
LA00019,West Bengal,West Bengal_District_2,Industrial Corridor,State Power Corp,12.0,Tribal/Scheduled Area,105,True,89.4,370993.0,False,True,False,134,True,Title Dispute,True,False,17,True,36,True,False,Full,0.69,True,0.4,1493,Award Declared,False,3.1
LA00020,Karnataka,Karnataka_District_2,Irrigation,State Industrial Dev. Corp,2.13,Urban/Residential,86,True,51.3,619218.0,True,True,True,116,True,Public Purpose Challenge,True,True,11,True,34,True,False,Full,0.8,True,0.81,1558,Award Declared,True,19.1
LA00021,Madhya Pradesh,Madhya Pradesh_District_2,Highway,State Power Corp,42.38,Agricultural,15,True,71.6,434296.0,False,False,False,244,False,None,False,False,0,True,3,True,True,Partial,0.34,True,0.56,1510,SIA,False,1.2
LA00022,Gujarat,Gujarat_District_4,Highway,NHAI,82.27,Agricultural,32,True,72.2,572002.0,False,False,False,147,False,None,False,False,0,False,9,False,False,Full,0.62,True,0.45,1037,Possession Taken,False,2.1
LA00023,West Bengal,West Bengal_District_2,Mining,Indian Railways,8.75,Agricultural,10,True,97.3,521863.0,False,False,False,333,False,None,False,False,0,False,2,True,False,Full,0.84,True,0.4,1754,Notification,False,1.7
LA00024,Punjab,Punjab_District_4,Highway,NHAI,161.79,Agricultural,69,True,44.2,195869.0,False,True,False,266,False,None,False,False,0,True,11,False,False,Partial,0.49,True,0.28,1648,Award Declared,True,25.6
LA00025,Gujarat,Gujarat_District_3,Highway,Indian Railways,14.54,Agricultural,25,False,86.5,643075.0,False,True,False,518,True,Title Dispute,True,False,20,False,14,False,False,Partial,0.94,True,0.21,1277,Award Declared,False,3.4
LA00026,Maharashtra,Maharashtra_District_1,Highway,NHAI,5.97,Tribal/Scheduled Area,12,False,70.9,841612.0,False,True,False,467,True,Title Dispute,True,False,37,False,4,False,False,Full,0.57,True,0.49,776,Compensation Disbursed,False,0.0
LA00027,Karnataka,Karnataka_District_3,Highway,Irrigation Dept,2.26,Agricultural,57,True,49.2,388282.0,True,True,False,199,True,Title Dispute,False,False,0,False,12,True,False,Partial,0.7,True,0.27,1387,Award Declared,True,31.6
LA00028,Rajasthan,Rajasthan_District_2,Mining,State PWD,17.19,Tribal/Scheduled Area,3,True,32.8,555310.0,False,True,False,305,True,Compensation Dispute,True,True,25,False,1,False,False,Not Started,0.37,True,0.08,1500,Notification,True,27.5
LA00029,Karnataka,Karnataka_District_3,Mining,Municipal Corporation,10.75,Agricultural,21,False,46.5,560009.0,False,True,True,944,False,None,False,False,0,True,11,True,True,Partial,0.65,True,0.27,752,SIA,False,1.0
LA00030,Gujarat,Gujarat_District_1,Industrial Corridor,Municipal Corporation,104.95,Urban/Residential,34,False,90.6,666797.0,False,False,False,391,False,None,False,False,0,True,6,True,True,Partial,0.57,False,0.35,1731,Closed,False,0.4
LA00031,Uttar Pradesh,Uttar Pradesh_District_4,Railway,Irrigation Dept,10.15,Urban/Residential,14,True,57.7,171738.0,True,True,True,155,True,Compensation Dispute,True,False,19,True,2,False,False,Partial,0.44,True,0.27,1394,Award Declared,False,1.6
LA00032,Madhya Pradesh,Madhya Pradesh_District_4,Urban Housing,State Industrial Dev. Corp,10.41,Urban/Residential,3,False,36.0,239202.0,False,True,True,160,True,Title Dispute,True,True,27,True,1,True,True,Partial,0.45,True,0.14,85,Award Declared,False,3.3
LA00033,West Bengal,West Bengal_District_4,Mining,State PWD,46.56,Urban/Residential,72,False,84.5,859904.0,True,True,False,434,True,Compensation Dispute,True,False,24,True,14,True,True,Not Started,0.25,True,0.3,50,Award Declared,False,1.7
LA00034,Rajasthan,Rajasthan_District_1,Industrial Corridor,Irrigation Dept,16.6,Tribal/Scheduled Area,55,True,73.3,439319.0,False,True,False,138,False,None,False,False,0,True,20,False,False,Not Started,0.62,True,0.44,1483,Possession Taken,True,21.4
LA00035,Rajasthan,Rajasthan_District_3,Power Plant,State PWD,28.16,Tribal/Scheduled Area,51,False,91.0,854863.0,False,True,False,208,False,None,False,False,0,True,6,True,True,Partial,0.49,True,0.16,1427,Award Declared,False,3.5
